origin_lat,origin_lon,dest_lat,dest_lon,migrants
-34.9964963,-64.9672817,39.7837304,-100.445882,5858
-32.8755548,-56.0201525,39.7837304,-100.445882,1058
-31.7613365,-71.3187697,39.7837304,-100.445882,14948
-29.6826112,-51.4687455,39.7837304,-100.445882,1185
-29.6039267,28.3350193,39.7837304,-100.445882,10
-28.8166236,24.991639,39.7837304,-100.445882,2723
-26.5624806,31.3991317,39.7837304,-100.445882,111
-23.3165935,-58.1693445,39.7837304,-100.445882,585
-23.2335499,17.3231107,39.7837304,-100.445882,307
-23.1681782,24.5928742,39.7837304,-100.445882,104
-20.2759451,57.5703566,39.7837304,-100.445882,244
-19.9160819,-175.202642,39.7837304,-100.445882,82
-19.302233,34.9144977,39.7837304,-100.445882,189
-19.0536414,-169.861341,39.7837304,-100.445882,5
-18.9249604,46.4416422,39.7837304,-100.445882,121
-18.4554963,29.7468414,39.7837304,-100.445882,7701
-18.1239696,179.0122737,39.7837304,-100.445882,5700
-17.0568696,-64.9912286,39.7837304,-100.445882,6938
-16.5255069,168.1069154,39.7837304,-100.445882,44
-14.5189121,27.5589884,39.7837304,-100.445882,1011
-13.7693895,-172.12005,39.7837304,-100.445882,15
-13.2687204,33.9301963,39.7837304,-100.445882,1142
-12.2045176,44.2832964,39.7837304,-100.445882,282
-11.8775768,17.5691241,39.7837304,-100.445882,11449
-10.3333333,-53.2,39.7837304,-100.445882,100312
-8.7443169,126.063482,39.7837304,-100.445882,16
-6.8699697,-75.0458515,39.7837304,-100.445882,96855
-6.5247123,35.7878438,39.7837304,-100.445882,2153
-5.6816069,144.2489081,39.7837304,-100.445882,5
-4.6574977,55.4540146,39.7837304,-100.445882,79
-3.426449,29.9324519,39.7837304,-100.445882,3251
-2.9814344,23.8222636,39.7837304,-100.445882,11696
-2.4833826,117.8902853,39.7837304,-100.445882,39204
-1.9646631,30.0644358,39.7837304,-100.445882,5577
-1.3397668,-79.3666965,39.7837304,-100.445882,139699
-0.8999695,11.6899699,39.7837304,-100.445882,861
1.357107,103.8194992,39.7837304,-100.445882,420
1.4419683,38.4313975,39.7837304,-100.445882,20683
1.5333554,32.2166578,39.7837304,-100.445882,11984
1.613172,10.5170357,39.7837304,-100.445882,533
3.7203503,73.2244152,39.7837304,-100.445882,15
4.099917,-72.9088133,39.7837304,-100.445882,348193
4.1413025,-56.0771187,39.7837304,-100.445882,471
4.536307,-75.6723751,39.7837304,-100.445882,40503
4.6125522,13.1535811,39.7837304,-100.445882,37475
4.8417097,-58.6416891,39.7837304,-100.445882,4333
5.7499721,-9.3658524,39.7837304,-100.445882,22948
5.7587654,-73.9151617,39.7837304,-100.445882,27290
7.5554942,80.7137847,39.7837304,-100.445882,10527
7.8699431,29.6667897,39.7837304,-100.445882,360
7.9897371,-5.5679458,39.7837304,-100.445882,9975
8.0018709,-66.1109318,39.7837304,-100.445882,678334
8.0300284,-1.0800271,39.7837304,-100.445882,14407
8.3676771,49.083416,39.7837304,-100.445882,29992
8.559559,-81.1308434,39.7837304,-100.445882,2926
8.6062347,151.832744331612,39.7837304,-100.445882,69
8.6400349,-11.8400269,39.7837304,-100.445882,10793
8.7800265,1.0199765,39.7837304,-100.445882,7186
8.9995549,168.0002575,39.7837304,-100.445882,14
9.5293472,2.2584408,39.7837304,-100.445882,1103
9.6000359,7.9999721,39.7837304,-100.445882,39061
10.2116702,38.6521203,39.7837304,-100.445882,57991
10.2735633,-84.0739102,39.7837304,-100.445882,3123
10.7226226,-10.7083587,39.7837304,-100.445882,29443
10.7466905,-61.0840075,39.7837304,-100.445882,2865
11.8145966,42.8453061,39.7837304,-100.445882,1493
11.815215,-15.2351044,39.7837304,-100.445882,402
12.1176488,-68.9309263,39.7837304,-100.445882,96
12.5433216,104.8144914,39.7837304,-100.445882,2657
12.6090157,-85.2936911,39.7837304,-100.445882,241736
12.7503486,122.7312101,39.7837304,-100.445882,20506
13.470062,-15.4900464,39.7837304,-100.445882,8060
13.8000382,-88.9140683,39.7837304,-100.445882,598724
14.4750607,-14.4529612,39.7837304,-100.445882,26588
14.8971921,100.83273,39.7837304,-100.445882,1421
15.2572432,-86.0755145,39.7837304,-100.445882,356898
15.4113138,-61.3653618,39.7837304,-100.445882,570
15.5855545,-90.345759,39.7837304,-100.445882,595494
15.6134137,19.0156172,39.7837304,-100.445882,2276
15.9266657,107.9650855,39.7837304,-100.445882,11088
15.9500319,37.9999668,39.7837304,-100.445882,13742
16.0000552,-24.0083947,39.7837304,-100.445882,303
16.3471243,47.8915271,39.7837304,-100.445882,5198
16.3700359,-2.2900239,39.7837304,-100.445882,6628
17.1750495,95.9999652,39.7837304,-100.445882,21120
17.7356214,9.3238432,39.7837304,-100.445882,2194
19.1399952,-72.3570972,39.7837304,-100.445882,344209
20.2540382,-9.2399263,39.7837304,-100.445882,36257
21.0000287,57.0036901,39.7837304,-100.445882,58
22.1757605,113.5514142,39.7837304,-100.445882,31
22.350627,114.1849161,39.7837304,-100.445882,480
22.3511148,78.6677428,39.7837304,-100.445882,212969
23.0131338,-80.8328748,39.7837304,-100.445882,334907
23.6585116,-102.0077097,39.7837304,-100.445882,476455
24.4769288,90.2934413,39.7837304,-100.445882,41263
24.7736546,-78.0000547,39.7837304,-100.445882,2115
25.3336984,51.2295295,39.7837304,-100.445882,113
25.6242618,42.3528328,39.7837304,-100.445882,2980
26.030093,50.55333678912324,39.7837304,-100.445882,166
26.2540493,29.2675469,39.7837304,-100.445882,43084
26.8234472,18.1236723,39.7837304,-100.445882,2917
27.549511,90.5119273,39.7837304,-100.445882,856
28.0000272,2.9999825,39.7837304,-100.445882,2845
28.3347722,-10.371337908392649,39.7837304,-100.445882,1782
28.3780464,83.9999901,39.7837304,-100.445882,33467
29.3796532,47.9734174,39.7837304,-100.445882,1430
30.3308401,71.247499,39.7837304,-100.445882,45056
30.8124247,34.8594762,39.7837304,-100.445882,3314
32.6475314,54.5643516,39.7837304,-100.445882,34064
33.0955793,44.1749775,39.7837304,-100.445882,23895
33.7680065,66.2385139,39.7837304,-100.445882,56960
34.0678644,-102.524362,39.7837304,-100.445882,12539
34.9174159,32.889902651331866,39.7837304,-100.445882,18
35.0000663,104.999955,39.7837304,-100.445882,478118
35.8885993,14.4476911,39.7837304,-100.445882,8
36.8002068,10.1857757,39.7837304,-100.445882,1296
38.23368665,127.00873073371444,39.7837304,-100.445882,168
38.6281733,70.8156541,39.7837304,-100.445882,5305
38.9953683,21.9877132,39.7837304,-100.445882,324
39.294076,35.2316631,39.7837304,-100.445882,43056
39.3260685,-4.8379791,39.7837304,-100.445882,1797
39.6621648,-8.1353519,39.7837304,-100.445882,1185
40.375713,-76.4626118,39.7837304,-100.445882,9150
40.3936294,47.7872508,39.7837304,-100.445882,7514
41.32373,63.9528098,39.7837304,-100.445882,30609
41.5089324,74.724091,39.7837304,-100.445882,14709
41.6171214,21.7168387,39.7837304,-100.445882,1656
42.2089038065726,-79.46849684080372,39.7837304,-100.445882,164
42.5407167,1.5732033,39.7837304,-100.445882,7
42.6073975,25.4856617,39.7837304,-100.445882,6707
42.6384261,12.674297,39.7837304,-100.445882,1803
43.7323492,7.4276832,39.7837304,-100.445882,5
43.9458623,12.458306,39.7837304,-100.445882,5
44.02432285,21.07657433209902,39.7837304,-100.445882,18414
44.3053476,17.5961467,39.7837304,-100.445882,2032
44.6663146,-93.6261918,39.7837304,-100.445882,12108
45.3658443,15.6575209,39.7837304,-100.445882,1129
46.1199444,14.8153333,39.7837304,-100.445882,124
46.603354,1.8883335,39.7837304,-100.445882,806
46.7985624,8.2319736,39.7837304,-100.445882,54
47.0229142,28.8299748,39.7837304,-100.445882,7381
47.1817585,19.5060937,39.7837304,-100.445882,2176
47.59397,14.12456,39.7837304,-100.445882,60
48.1012954,66.7780818,39.7837304,-100.445882,11183
48.7411522,19.4528646,39.7837304,-100.445882,292
49.7439047,15.3381061,39.7837304,-100.445882,1219
50.6402809,4.6667145,39.7837304,-100.445882,211
51.1638175,10.4478313,39.7837304,-100.445882,1334
52.215933,19.134422,39.7837304,-100.445882,10126
52.2434979,5.6343227,39.7837304,-100.445882,356
53.4250605,27.6971358,39.7837304,-100.445882,14454
54.7023545,-3.2765753,39.7837304,-100.445882,815
55.3500003,23.7499997,39.7837304,-100.445882,1057
55.670249,10.3333283,39.7837304,-100.445882,26
56.8406494,24.7537645,39.7837304,-100.445882,776
58.7523778,25.3319078,39.7837304,-100.445882,965
59.6749712,14.5208584,39.7837304,-100.445882,190
63.2467777,25.9209164,39.7837304,-100.445882,53
64.5731537,11.52803643954819,39.7837304,-100.445882,5
64.9841821,-18.1059013,39.7837304,-100.445882,5
